,diravg,dirmax,dmgarea,dmgmoney,exintgtm,extingdt,humidcurr,humidmin,humidrel,ocurcause,ocurdo,ocurdt,ocuremd,ocurgm,ocurjibun,ocurri,ocursgg,ocuryoil,ownersec,rainamount,raindays,riskavg,riskmax,tempavg,windavg,windmax
4805,WSW, ,0.5,0,50,200202121600,0.0,0.0,25.0,성묘객실화추정,경기,200202121510,초월,경기,산39,용수,광주,화,사,1.2,14,0.0,0.0,3.9,2.9,0.0
4806,WNW, ,0.1,30,100,200202121535,0.0,0.0,24.0,입산자실화추정,경기,200202121435,용문,경기,산38,망능,양평,화,사,1.2,14,0.0,0.0,2.7,2.5,0.0
4807,WNW, ,0.5,1385,140,200202121515,0.0,0.0,34.0,성묘객실화,경북,200202121335,신령,경북,산35-4,화서,영천,화,사,0.5,16,0.0,0.0,2.0,6.1,0.0
4808,N, ,0.03,0,10,200202121340,0.0,0.0,11.0,성묘객실화,울산,200202121330,범서,울산,산223,서사,울주,화,사,14.0,17,0.0,0.0,6.5,2.9,0.0
4809,N, ,1.8,2700,225,200202121525,0.0,0.0,37.0,성묘객실화,전남,200202121300,비금,전남,산23,내월,신안,화,사,2.5,2,0.0,0.0,5.6,5.5,0.0
4810,W, ,0.08,0,130,200202121410,0.0,0.0,45.0,성묘객실화,전북,200202121240,나포,전북,산154,나포,군산,화,사,1.5,1,0.0,0.0,2.8,5.4,0.0
4811,E, ,0.1,274,25,200202121245,0.0,0.0,25.0,입산자실화추정,경남,200202121220,원동,경남,산1-1,용당,양산,화,사,0.5,1,0.0,0.0,4.9,3.1,0.0
4812,WNW, ,0.5,140,215,200202121435,0.0,0.0,32.0,성묘객실화,경기,200202121220,양서,경기,산20,양수,양평,화,사,1.2,14,0.0,0.0,0.8,1.5,0.0
4813,WNW, ,4.6,8100,900,200202120800,0.0,0.0,66.0,낚시꾼실화추정,전남,200202112300,신의,전남,산65,고평사도,신안,월,사,2.5,1,0.0,0.0,-2.5,8.1,0.0
4814,NNW, ,4.0,10960,1230,200202120830,0.0,0.0,22.0,방화추정,울산,200202112000,중산,울산,산150, ,북,월,사,14.0,16,0.0,0.0,2.1,3.6,0.0
4815,NW, ,7.0,19000,1400,200202120830,0.0,0.0,35.0,방화추정,울산,200202111830,연암,울산,산97-1, ,북,월,사,14.0,16,0.0,0.0,4.0,2.4,0.0
4816,WNW, ,0.01,200,15,200202111800,0.0,0.0,36.0,입산자실화추정,대구,200202111745,연경,대구,산169, ,북,월,사,8.5,16,0.0,0.0,3.2,7.2,0.0
4817,NW, ,0.4,1079,109,200202111625,0.0,0.0,26.0,농산부산물소각추정,경북,200202111516,양남,경북,산95,나아,경주,월,사,0.5,15,0.0,0.0,5.5,3.3,0.0
4818,WNW, ,8.0,21920,2046,200202121156,0.0,0.0,30.0,입산자실화추정,부산,200202111510,녹산,부산,산3-1, ,강서,월,사,28.0,16,0.0,0.0,5.5,8.8,0.0
4819,WNW, ,0.1,50,50,200202111600,0.0,0.0,30.0,입산자실화추정,부산,200202111510,반송,부산,산16-2, ,해운대,월,사,28.0,16,0.0,0.0,5.5,8.8,0.0
4820,NW, ,1.5,4111,210,200202111630,0.0,0.0,24.0,쓰레기소각,경남,200202111420,도산,경남,산121-12,법송,통영,월,사,11.0,16,0.0,0.0,7.9,6.3,0.0
4821,W, ,0.5,1349,110,200202111430,0.0,0.0,24.0,성묘객실화,경북,200202111320,안강,경북,산1-1,양월,경주,월,사,0.5,15,0.0,0.0,4.4,4.9,0.0
4822,NNE, ,0.05,135,42,200202101010,0.0,0.0,46.0,쓰레기소각,부산,200202100928,석대,부산,산150-2, ,해운대,일,사,28.0,15,0.0,0.0,1.2,3.0,0.0
4823,NNW, ,0.3,900,135,200202091940,0.0,0.0,14.0,입산자실화추정,울산,200202091805,매곡,울산,산16-1, ,북,토,사,14.0,14,0.0,0.0,4.0,1.7,0.0
4824,N, ,0.4,0,100,200202091743,0.0,0.0,21.0,어린이불장난,대전,200202091643,낭월,대전,산9-4, ,동,토,사,1.0,13,0.0,0.0,2.4,3.2,0.0
4825,WNW, ,0.3,270,50,200202091630,0.0,0.0,14.0,담배불실화추정,경북,200202091540,진보,경북,산10-2,기곡,청송,토,사,38.5,14,0.0,0.0,2.4,3.3,0.0
4826,WNW, ,0.3,800,115,200202091630,0.0,0.0,38.0,쓰레기소각,충남,200202091515,정안,충남,산16-1,사현,공주,토,사,1.0,13,0.0,0.0,-0.2,4.7,0.0
4827,N, ,0.01,26,20,200202091510,0.0,0.0,17.0,열차스파크추정,경북,200202091450,공성,경북,산114-3,이화,상주,토,사,0.5,13,0.0,0.0,2.8,5.3,0.0
4828,W, ,2.1,5664,423,200202082255,0.0,0.0,42.0,방화추정,전남,200202081832,화양,전남,산226,용주,여수,금,사,9.0,13,0.0,0.0,10.5,5.9,0.0
4829,WNW, ,0.1,0,24,200202081637,0.0,0.0,6.0,농산부산물소각,울산,200202081613,청량,울산,산22,율,울주,금,사,14.0,13,0.0,0.0,14.3,3.3,0.0
4830,NW, ,1.0,2530,143,200202081555,0.0,0.0,53.0,제방소각,전남,200202081412,송지,전남,산10,군곡,해남,금,사,0.5,12,0.0,0.0,10.3,2.8,0.0
4831,WSW, ,3.0,8223,240,200202081530,0.0,0.0,43.0,논두렁소각,경남,200202081250,삼산,경남,산22,삼봉,고성,금,사,11.0,13,0.0,0.0,12.2,4.3,0.0
4832,WNW, ,4.5,12138,152,200202081416,0.0,0.0,12.0,담배불실화추정,울산,200202081224,청량,울산,산90-1,용암,울주,금,사,14.0,13,0.0,0.0,13.1,1.2,0.0
4833,SW, ,1.0,2740,140,200202081350,0.0,0.0,43.0,입산자실화추정,강원,200202081210,간성,강원,산54,광산,고성,금,사,0.5,2,0.0,0.0,7.4,2.6,0.0
4834,SW, ,0.02,0,4,200202071622,0.0,0.0,32.0,입산자실화추정,인천,200202071618,청학,인천,산57, ,연수,목,사,9.2,18,0.0,0.0,7.4,4.3,0.0
4835,WNW, ,0.7,1750,130,200202071720,0.0,0.0,27.0,쓰레기소각,전남,200202071550,완도,전남,산22,화흥,완도,목,사,0.6,2,0.0,0.0,10.7,3.7,0.0
4836,W, ,0.3,0,100,200202071600,0.0,0.0,19.0,방화,경북,200202071500,영양,경북,산104,무창,영양,목,사,0.7,8,0.0,0.0,11.3,6.2,0.0
4837,SSW, ,0.5,800,153,200202071600,0.0,0.0,22.0,어린이불장난추정,인천,200202071407,석남,인천,산15, ,서,목,사,9.2,18,0.0,0.0,9.0,4.1,0.0
4838,W, ,0.05,135,28,200202071435,0.0,0.0,15.0,담배불실화추정,부산,200202071407,감천,부산,산6, ,사하,목,사,28.0,12,0.0,0.0,13.1,3.5,0.0
4839,NNW, ,5.0,37105,117,200202071340,0.0,0.0,13.0,컨테이너화재,울산,200202071223,성암,울산,산87-1, ,남,목,사,14.0,12,0.0,0.0,10.1,3.2,0.0
4840,NW, ,0.4,1078,40,200202071210,0.0,0.0,28.0,입산자실화추정,경북,200202071130,봉화,경북,산28-1,도촌,봉화,목,사,0.7,8,0.0,0.0,4.4,4.7,0.0
4841,NW, ,0.3,809,45,200202062040,0.0,0.0,28.0,입산자실화추정,울산,200202061955,성안,울산,산135, ,중,수,사,14.0,11,0.0,0.0,9.3,1.5,0.0
4842,WSW, ,1.0,2463,115,200202062035,0.0,0.0,42.0,아구이불씨비화,강원,200202061920,양양,강원,산4-1,기,양양,수,사,1.5,10,0.0,0.0,8.7,4.4,0.0
4843,SSW, ,0.16,250,105,200202061530,0.0,0.0,27.0,입산자실화추정,경남,200202061425,연초,경남,산38,이목,거제,수,사,17.5,1,0.0,0.0,12.3,2.5,0.0
4844,W, ,0.01,0,7,200202051606,0.0,0.0,28.0,어린이불장난추정,서울,200202051559,도봉,서울,산2-1, ,도봉,화,사,0.5,10,0.0,0.0,8.6,3.1,0.0
4845,W, ,0.01,0,14,200202051400,0.0,0.0,22.0,담뱃불실화추정,서울,200202051346,봉천,서울,산104-1, ,관악,화,사,0.5,10,0.0,0.0,8.3,2.9,0.0
4846,E, ,0.5,1348,100,200202051320,0.0,0.0,36.0,입산자실화추정,경북,200202051220,물야,경북,산1,압동,봉화,화,사,0.7,6,0.0,0.0,8.6,1.0,0.0
4847,NW, ,0.1,300,56,200202021930,0.0,0.0,53.0,담배불실화추정,인천,200202021834,산곡,인천,산53-17, ,부평,토,사,9.2,13,0.0,0.0,4.8,3.2,0.0
