,juso,경도,위도
181,충청남도 부여군 임천면 부흥로 63-11,126.900341288,36.167489426
182,충청북도 영동군 용산면 서신항길 97-77,127.809912950,36.263500486
183,인천광역시 부평구 동암산로 30 (십정동),126.707768218,37.474744352
184,전라남도 순천시 별량면 송산길 144,127.412688636,34.867571517
185,경기도 고양시 덕양구 보광로 49 (벽제동),126.901970106,37.715810009
186,전라남도 광양시 성황대로 69 (성황동),127.675660123,34.939114693
187,경상북도 상주시 낙동면 승곡1길 156-112,128.189503753,36.359819644
188,서울특별시 관악구 관악산나들길 128 (신림동),126.945226715,37.457329296
189,전라북도 완주군 고산면 어우길 161,127.176479722,35.974048400
190,전라북도 김제시 만경읍 만경로 1255-23,126.830730877,35.889724814
191,경상북도 상주시 모서면 가막2길 70-7,127.960239738,36.354440622
192,전라남도 영암군 군서면 동호길 66,126.617691767,34.790697554
193,전라남도 고흥군 대서면 동서로 985-29,127.265888378,34.738261092
194,전라남도 강진군 도암면 기전로 337,126.756301026,34.530541330
195,전라북도 남원시 산내면 백장길 66,127.620285630,35.442690626
196,서울특별시 노원구 마들로5길 89-27 (월계동),127.049491910,37.641114458
197,전라남도 화순군 백아면 수양로 353,127.168392929,35.151754212
198,경기도 광주시 도척면 방등길31번길 7-96,127.345832584,37.276940727
199,경상남도 남해군 미조면 남해대로 400-74,128.014304848,34.730346782
200,경기도 평택시 왕뒤길 65-43 (도일동),127.098218606,37.057945392
201,경기도 광주시 곤지암읍 경충대로 26,127.398922045,37.326922608
202,전라북도 순창군 쌍치면 국사봉로 531,126.968442966,35.540515187
203,충청남도 천안시 동남구 광덕면 왕승길 5-10,127.077329222,36.679898542
204,경기도 수원시 장안구 수일로233번길 93 (조원동),127.018984264,37.308218567
205,경상북도 성주군 금수면 사더래길 144,128.134586258,35.904230100
206,경기도 동두천시 쇠목길 320 (광암동),127.107440531,37.906599950
207,경상남도 창원시 성산구 연덕로27번길 77 (웅남동),128.649157453,35.211688776
208,,,
209,전라남도 함평군 손불면 모량길 93,126.411693612,35.164922739
210,전라남도 곡성군 오곡면 심청로 4-55,127.365158905,35.242708126
211,충청남도 부여군 규암면 왕흥로155번길 81-31,126.890931859,36.301140811
212,전라남도 영암군 학산면 매월길 73-13,126.533096460,34.781199171
213,전라남도 신안군 흑산면 하태도길 9-5,125.298750387,34.394049334
214,경기도 과천시 윗배랭이길 26 (문원동),127.006330406,37.425414686
215,,,
216,충청남도 부여군 규암면 흥수로 581-7,126.846730962,36.266349955
217,"경기도 시흥시 미산로143번길 16 (미산동, 석원빌라)",126.794176746,37.416400809
218,경상남도 의령군 화정면 진의로5길 20,128.192882608,35.314474068
219,전라북도 임실군 임실읍 감천로 283-18,127.303988240,35.596680721
220,충청남도 태안군 소원면 서해로 806-51,126.211550411,36.758354248
221,인천광역시 남동구 청능대로534번길 34-1 (고잔동),126.719456415,37.398573526
222,충청남도 서산시 고북면 용암휴암길 54,126.544602039,36.689467873
223,경상북도 상주시 낙동면 유곡옥관로 162,128.240867045,36.350322530
224,전라북도 고창군 상하면 서당1길 45,126.464273284,35.450773015
225,부산광역시 기장군 일광읍 학리등대로 74,129.245295245,35.257699081
226,경상남도 양산시 하북면 내원로 207,129.094065230,35.445028607
227,인천광역시 남동구 만월로 2-1 (만수동),126.724395379,37.468755010
228,강원도 횡성군 강림면 태종로 861,,
229,경상북도 상주시 외서면 가곡3길 75,128.089331515,36.474958307
230,경기도 양평군 양동면 삼산역길 193,127.781695795,37.393968704
231,,,
232,세종특별자치시 장군면 산학리길 108,127.225290495,36.490525333
233,서울특별시 은평구 진흥로 325 (불광동),126.945077307,37.611168547
234,,,
235,경기도 연천군 청산면 청신로224번길 39,127.082758839,37.986666418
236,경상북도 상주시 이안면 양범안룡길 319-42,128.127716928,36.593240828
237,강원도 평창군 용평면 평창대로 1786-10,128.430216103,37.569419112
238,강원도 홍천군 남면 명동길 118,127.759776450,37.635668839
239,강원도 철원군 갈말읍 호국로 5226-18,,
240,경상북도 영주시 풍기읍 삼가로 682-24,128.504514322,36.940126564
241,서울특별시 관악구 승방1길 109-42 (남현동),126.977925319,37.469665949
