연번,명칭,높이(m),경도(E),위도(N)
192,강망산,374.3,128.703675,34.9249389
193,백암산,494.7,128.5545361,34.8817861
194,독봉산,334.9,128.642725,34.8789111
195,국사봉,465.4,128.6722694,34.884775
196,약수봉,281.6,128.6517361,34.8987944
197,산방산,507.3,128.5392222,34.8615528
198,대봉산,459.5,128.5563278,34.8650778
199,마안산,121.2,128.5590889,34.8511222
200,동산,141.7,128.5982194,34.8542889
201,계룡산,569.8,128.6076278,34.8710194
202,옥녀봉,555.6,128.6935056,34.852225
203,안치봉,337.8,128.5003222,34.8495194
204,포옥산,266.6,128.5474417,34.8449611
205,화암산,308.6,128.5543389,34.8394
206,남산,25.4,128.5914556,34.8479361
207,선자산,519.4,128.6300944,34.8398528
208,북병산,471.8,128.6565806,34.82245
209,동망산,291.3,128.5841972,34.7836944
210,동망산,287.1,128.5923222,34.7915222
211,노자산,557.1,128.6161972,34.7845222
212,망산,304.9,128.7246028,34.7988722
213,산등,164.0,128.6370417,34.9824
214,망월봉,138.2,128.6863167,34.9814806
215,독봉산,101.2,128.6905833,34.9712333
216,갈바산,119.2,128.7136417,34.9625
217,동산,29.3,128.7228389,34.966775
218,백석산,208.7,128.5185083,34.9411194
219,국사봉,210.3,128.6469222,34.9228222
220,삼각산,252.1,128.6939833,34.9056194
221,동산,136.0,128.7089306,34.9051528
222,장등산,200.6,128.7014028,34.8993806
223,협성봉,185.6,128.7239056,34.8766722
224,월암봉,218.3,128.5652472,34.8681889
225,대리비산,47.4,128.5901556,34.8588667
226,안산,100.9,128.5947806,34.8619583
227,망산,215.9,128.738675,34.8699944
228,놀고지동산,71.8,128.5191361,34.8254417
229,사슴산,87.2,128.5366361,34.8314
230,큰골산,220.1,128.5366806,34.8448694
231,부채산,406.7,128.6310167,34.8349944
232,수려봉,208.2,128.5102083,34.8237417
233,포록산,277.5,128.5924778,34.8148917
234,안산,203.9,128.5679694,34.7776083
235,금원산,1352.5,127.7610333,35.7308278
236,금귀산,838.6,127.9560861,35.7287806
237,기백산,1330.8,127.7815806,35.7069722
238,오두봉,956.9,127.8163472,35.7134778
239,박유산,712.0,127.9902139,35.6923111
240,황석산,1192.5,127.7554694,35.655175
241,일산봉,625.6,127.9714611,35.6717417
242,무이산,474.9,127.790275,35.6278667
243,감토산,518.6,127.9675944,35.6479889
244,골무산,552.7,127.8200389,35.6080361
245,망설봉,620.7,127.8710833,35.620925
246,마안산,509.2,127.7795667,35.5864694
247,새암산,556.3,127.8036778,35.5828194
248,덕갈산,669.6,127.8629194,35.5761806
249,감악산,952.6,127.9281194,35.5955778
250,승안산,311.1,127.7960083,35.5690306
251,갈전산,765.1,127.8697389,35.5598972
252,식기봉,670.5,127.8563111,35.5694194
253,매봉산,810.4,127.8797722,35.5675222
254,연화산,444.0,127.7953861,35.5356694
255,역마봉,327.4,127.8270694,35.5290167
256,철마산,773.9,127.8748278,35.5390028
257,보록산,663.8,127.8888722,35.5403194
258,바람산,797.4,127.9041833,35.5342306
259,월여산,863.5,127.9490139,35.5465639
260,소룡산,760.9,127.9211611,35.521025
261,건흥산,573.2,127.8788278,35.70265
262,황매산,843.2,127.9597417,35.5186667
263,성산,244.4,129.1322194,35.9968333
264,무학산,442.6,129.1006917,35.9741889
265,무릉산,472.4,129.1900861,35.9554861
266,마미산,157.9,129.2165889,35.972025
267,평룡산,338.5,129.0357111,35.9430056
268,관산,393.6,129.0615333,35.9301639
269,어림산,510.4,129.1349917,35.9329806
270,금곡산,521.0,129.1692222,35.9320111
271,곤제봉,289.3,129.2230833,35.9495806
272,방산,328.4,129.0227806,35.92065
273,봉화산,254.2,129.0335083,35.9145194
274,인내산,534.6,129.1021056,35.9201833
275,안태봉,337.9,129.194825,35.9035222
276,구미산,594.4,129.1359917,35.8849
277,소산,184.6,129.0666722,35.8631139
278,오봉산,632.9,129.0500917,35.8535028
279,옥녀봉,233.3,129.1740139,35.8579389
280,소금강산,176.7,129.2320306,35.8601222
281,사룡산,685.5,129.013225,35.8459111
282,선도산,380.6,129.1751472,35.8341667
283,벽도산,437.2,129.1597056,35.8065611
284,남산성,255.9,129.2307278,35.8086611
285,낭산,99.5,129.2423972,35.8239
286,조래봉,654.1,129.0692389,35.7755833
287,단석산,827.2,129.0889194,35.7946278
288,망산,232.3,129.1870861,35.7942639
289,새미산,113.5,129.1901694,35.7574083
290,금오산,495.1,129.2252861,35.7675556
291,보갓이산,60.2,129.1989389,35.9915389
292,매봉산,220.9,129.199475,35.9602472
293,만불산,275.4,129.0379917,35.9120806
294,안산,98.4,129.1761556,35.9001139
295,도통산,198.4,129.2187528,35.9171972
296,두지봉,289.2,129.2064917,35.9128111
297,황수등산,305.3,129.2162583,35.9246889
298,수정산,103.6,129.2437611,35.9087111
299,달래백이산,138.0,129.1955194,35.8895
300,질메산,93.0,129.1772639,35.8948889
301,퇴박골산,112.6,129.1865833,35.8925361
302,섯갓산,271.2,129.2430778,35.8805278
303,우복산,91.9,129.2412278,35.8969861
304,용림산,525.6,129.1367472,35.86755
305,송화산,275.6,129.1814889,35.8531444
306,큰갓산,234.8,129.1785111,35.8699278
307,동산,133.3,129.2335139,35.8543611
308,무지기산,148.7,129.2318972,35.8623167
309,주사산,565.8,129.0449667,35.8477556
310,장군봉,457.8,129.0838972,35.8263833
311,옥산,96.7,129.1073694,35.8387472
312,마산(댕미산),217.7,129.1041611,35.81405
313,갯보산,216.6,129.1813944,35.81965
314,장산,114.5,129.1890778,35.8184778
315,호암산,432.4,129.1456194,35.7750611
316,금실산,191.4,129.1745167,35.7826833
317,여우봉,246.4,129.1730333,35.7973306
318,강정산,109.2,129.1936667,35.7815028
319,보갓산,226.1,129.1856806,35.7758667
320,오리발산,175.4,129.1779944,35.7825528
321,부엉이산,340.4,129.0053833,35.7626194
322,달등이산,404.6,129.0391083,35.762875
323,창수산,407.4,129.0417306,35.7685222
324,수무산,392.0,129.1455667,35.7577806
