diravg,humidrel,rainamount,raindays,tempavg,windavg,within_5km,within_10km,within_30km,within_5km_fact,within_10km_fact,within_30km_fact,height,scale_damage
25,25.0,3.0,3,20.5,4.6,3.0,13.0,37.0,17,96,454,295.7,0.0
2,24.0,2.3,3,20.3,4.6,0.0,0.0,16.0,0,0,106,813.6,0.0
11,28.0,4.5,3,20.2,1.6,0.0,0.0,1.0,0,0,0,672.4,0.0
17,26.0,14.9,3,16.7,2.0,0.0,1.0,9.0,0,0,178,342.0,1.0
5,19.0,5.5,3,17.2,3.2,0.0,1.0,7.0,0,2,34,460.5,0.0
15,17.0,0.5,1,19.1,2.5,1.0,1.0,5.0,3,5,64,338.9,0.0
8,27.0,2.1,12,18.8,3.4,0.0,0.0,3.0,0,0,4,420.2,1.0
12,55.0,0.5,4,15.6,1.0,0.0,4.0,12.0,1,26,51,194.2,0.0
7,28.0,2.1,11,13.2,0.8,1.0,4.0,31.0,11,46,402,124.0,0.0
5,21.0,3.5,3,25.2,2.5,0.0,1.0,4.0,0,3,24,618.5,0.0
25,20.0,0.8,12,11.6,2.2,0.0,0.0,8.0,2,3,247,56.5,2.0
12,23.0,0.5,3,23.3,4.8,1.0,1.0,5.0,0,0,67,493.5,1.0
24,81.0,3.5,2,25.6,4.3,0.0,0.0,3.0,0,0,8,1162.9,2.0
12,29.0,6.0,12,22.1,3.2,0.0,0.0,4.0,0,0,7,195.5,0.0
24,71.0,6.5,11,26.0,4.6,0.0,0.0,4.0,0,3,20,163.4,0.0
12,38.0,4.8,2,17.7,3.4,0.0,1.0,4.0,0,2,45,169.5,0.0
24,48.0,0.5,2,22.1,3.4,0.0,2.0,10.0,2,3,51,149.3,1.0
10,48.0,0.5,11,19.8,2.5,1.0,1.0,2.0,0,1,7,276.4,2.0
24,33.0,0.5,11,20.0,4.9,0.0,0.0,4.0,0,0,19,591.5,2.0
21,24.0,6.0,2,12.3,3.6,1.0,2.0,15.0,0,15,264,138.9,1.0
21,22.0,0.5,11,12.9,4.3,1.0,2.0,10.0,4,8,85,164.0,2.0
21,33.0,2.0,10,24.3,3.5,1.0,1.0,3.0,5,5,6,263.7,0.0
11,74.0,0.5,2,23.6,3.1,0.0,0.0,10.0,0,0,26,316.8,0.0
25,32.0,1.5,11,18.4,1.3,0.0,1.0,4.0,0,2,15,632.0,0.0
10,36.0,2.5,1,24.4,3.1,0.0,0.0,4.0,0,0,23,666.1,2.0
18,36.0,6.5,15,23.1,2.5,0.0,0.0,6.0,0,3,17,128.5,0.0
11,27.0,2.5,1,17.0,1.2,0.0,1.0,12.0,2,5,143,249.1,2.0
14,62.0,1.0,11,11.0,0.8,1.0,2.0,36.0,16,62,727,209.0,2.0
5,29.0,2.0,10,20.4,5.5,0.0,1.0,4.0,0,1,6,425.3,1.0
3,34.0,2.5,8,21.1,3.6,0.0,0.0,3.0,0,1,1,393.7,1.0
15,31.0,0.5,1,21.5,3.5,0.0,2.0,6.0,1,5,17,348.4,0.0
19,29.0,0.5,8,20.8,1.7,0.0,1.0,3.0,0,0,0,154.8,0.0
19,43.0,2.0,15,20.0,4.1,1.0,1.0,5.0,3,5,64,338.9,0.0
17,32.0,1.0,7,19.9,2.6,0.0,2.0,2.0,0,0,0,557.5,1.0
30,26.0,0.7,9,8.8,0.4,0.0,0.0,3.0,0,0,18,508.0,2.0
21,95.0,21.0,8,19.6,4.2,0.0,1.0,3.0,0,0,0,254.5,0.0
21,58.0,9.0,8,17.8,2.0,0.0,0.0,0.0,0,0,4,854.7,0.0
25,33.0,2.1,6,21.8,2.2,1.0,4.0,31.0,11,46,402,124.0,1.0
14,32.0,0.5,12,16.4,2.4,0.0,0.0,3.0,0,0,31,62.2,2.0
14,24.0,1.5,11,21.2,2.6,0.0,0.0,8.0,0,1,167,161.0,1.0
21,24.0,2.0,7,19.8,1.8,1.0,1.0,2.0,0,0,1,277.2,0.0
7,34.0,0.5,11,17.6,1.7,0.0,0.0,0.0,1,2,8,217.7,1.0
10,29.0,1.0,5,15.0,4.0,1.0,4.0,16.0,9,76,238,641.3,0.0
24,37.0,0.5,11,11.7,4.3,0.0,1.0,5.0,3,19,55,120.9,0.0
3,53.0,1.5,10,22.0,3.8,0.0,1.0,4.0,0,4,28,648.0,0.0
24,26.0,6.0,6,20.3,3.5,0.0,1.0,4.0,0,0,3,344.8,0.0
19,26.0,3.5,6,23.1,2.3,0.0,1.0,9.0,1,2,38,486.5,2.0
25,48.0,2.5,4,20.7,3.4,0.0,0.0,4.0,0,0,1,502.9,2.0
25,2.9,1.5,10,14.3,4.3,0.0,0.0,4.0,0,0,39,80.8,0.0
24,40.0,0.5,5,13.3,2.4,2.0,4.0,41.0,8,34,655,234.7,2.0
21,19.0,0.5,5,17.2,4.3,0.0,1.0,21.0,1,1,148,497.7,0.0
21,35.0,1.0,5,17.8,3.7,0.0,3.0,16.0,2,20,218,71.8,0.0
18,33.0,1.5,5,16.3,3.4,0.0,0.0,6.0,0,2,32,489.4,0.0
18,33.0,2.0,4,21.6,1.9,0.0,0.0,1.0,0,0,5,625.7,0.0
12,41.0,0.5,9,18.2,2.5,0.0,0.0,0.0,1,5,14,125.1,0.0
14,22.0,6.5,9,20.5,2.1,0.0,0.0,5.0,0,1,16,139.4,0.0
25,26.0,1.7,5,18.4,5.0,0.0,0.0,3.0,0,0,0,480.5,0.0
19,18.0,0.8,5,12.4,2.7,2.0,8.0,33.0,111,284,654,186.2,1.0
24,46.0,0.5,9,16.2,4.0,0.0,1.0,4.0,0,2,43,380.4,0.0
19,75.0,0.5,5,14.2,3.4,0.0,2.0,36.0,1,6,444,328.5,2.0
21,57.0,1.0,9,16.3,1.6,1.0,1.0,5.0,3,8,63,471.7,0.0
25,37.0,0.7,5,14.8,1.6,0.0,1.0,3.0,0,4,17,805.8,1.0
21,48.0,0.5,4,9.0,1.8,2.0,9.0,49.0,11,85,834,159.8,0.0
24,52.0,1.0,2,14.4,2.4,0.0,1.0,5.0,0,3,39,291.3,2.0
24,44.0,1.0,2,16.1,3.3,0.0,0.0,8.0,1,2,53,56.2,2.0
21,28.0,2.5,3,18.4,5.1,0.0,0.0,3.0,0,0,8,445.4,0.0
1,90.0,0.5,8,18.2,0.0,0.0,0.0,7.0,1,4,51,104.4,0.0
21,57.0,0.5,8,18.5,3.7,0.0,0.0,2.0,0,1,9,40.7,1.0
24,49.0,0.5,8,18.1,4.9,0.0,0.0,3.0,0,0,31,62.2,1.0
5,36.0,3.0,8,14.3,1.9,0.0,0.0,3.0,0,0,15,391.1,0.0
19,26.0,0.5,4,12.1,4.0,5.0,10.0,39.0,50,148,431,115.5,2.0
8,45.0,1.0,8,5.2,1.1,0.0,0.0,7.0,0,0,96,817.6,2.0
25,41.0,5.6,3,12.7,5.6,0.0,1.0,9.0,0,2,106,381.5,0.0
11,33.0,0.5,7,16.0,2.2,0.0,0.0,2.0,2,2,33,166.0,0.0
25,30.0,0.5,3,12.8,5.0,1.0,2.0,10.0,4,8,85,164.0,0.0
24,30.0,6.0,3,13.2,4.8,0.0,1.0,9.0,0,3,90,433.4,0.0
7,35.0,3.0,7,13.8,2.8,0.0,0.0,5.0,0,0,19,642.4,2.0
12,38.0,0.5,1,11.9,5.5,0.0,0.0,7.0,0,0,30,472.9,2.0
24,12.0,1.0,3,11.9,5.0,1.0,4.0,33.0,9,61,460,448.1,0.0
24,16.0,7.0,7,13.5,4.2,0.0,0.0,3.0,0,0,16,562.6,0.0
21,30.0,0.5,3,11.6,6.9,0.0,2.0,7.0,1,1,31,754.9,0.0
24,45.0,1.1,1,12.1,2.8,1.0,2.0,7.0,44,125,177,113.8,0.0
10,51.0,1.5,7,9.5,5.7,0.0,0.0,3.0,0,0,5,131.7,2.0
11,55.0,0.5,7,9.2,4.8,0.0,0.0,2.0,0,0,9,715.3,0.0
11,42.0,6.5,7,10.2,4.1,1.0,1.0,5.0,0,1,16,115.1,0.0
7,34.0,1.0,7,8.4,4.6,0.0,2.0,5.0,0,2,49,107.0,0.0
11,34.0,7.5,8,9.0,9.0,0.0,0.0,0.0,0,0,0,274.5,2.0
12,47.0,1.0,3,3.8,2.8,1.0,5.0,46.0,2,47,705,369.2,2.0
24,36.0,6.5,6,11.2,5.8,1.0,1.0,4.0,0,0,16,26.4,2.0
25,40.0,0.8,2,9.1,3.5,0.0,5.0,40.0,6,88,749,94.9,0.0
24,31.0,2.0,5,8.3,1.0,0.0,1.0,4.0,0,4,49,381.3,2.0
21,31.0,3.5,5,8.9,5.0,0.0,0.0,4.0,0,0,17,473.0,2.0
12,35.0,2.7,4,19.1,2.7,0.0,1.0,2.0,1,10,18,101.6,1.0
19,25.0,2.0,4,19.0,3.0,1.0,5.0,31.0,24,141,579,106.1,2.0
11,43.0,2.7,4,21.2,2.7,0.0,0.0,5.0,1,2,38,440.8,0.0
15,28.0,6.9,3,19.1,1.3,0.0,0.0,4.0,0,1,20,277.4,0.0
12,18.0,1.2,3,17.8,1.6,0.0,0.0,2.0,1,1,6,170.3,1.0
18,24.0,14.5,3,19.5,3.2,0.0,1.0,12.0,3,5,175,55.4,0.0
17,18.0,9.5,2,13.6,1.2,0.0,0.0,9.0,2,5,117,249.3,1.0
25,18.0,2.0,3,13.4,1.0,1.0,8.0,34.0,93,281,669,201.8,1.0
8,39.0,6.9,2,17.3,1.5,0.0,1.0,2.0,0,4,9,211.7,0.0
5,32.0,2.0,3,20.3,1.6,0.0,0.0,4.0,0,0,0,453.6,2.0
17,23.0,4.5,0,17.0,0.5,1.0,1.0,11.0,0,0,190,316.5,2.0
24,22.0,0.5,11,16.0,3.6,2.0,9.0,45.0,24,208,627,527.4,2.0
15,27.0,1.7,8,22.0,3.5,0.0,1.0,5.0,0,2,7,280.0,1.0
2,28.0,10.0,2,21.5,1.5,0.0,1.0,2.0,0,5,9,292.4,0.0
2,11.0,6.3,7,14.7,1.6,0.0,0.0,2.0,0,0,0,1174.1,1.0
21,30.0,5.0,7,22.5,2.7,0.0,0.0,5.0,0,0,0,290.1,0.0
18,25.0,8.0,7,21.6,2.2,0.0,0.0,3.0,0,0,2,962.5,0.0
25,20.0,8.0,6,20.4,5.4,3.0,10.0,48.0,10,102,769,312.6,0.0
25,20.0,8.0,4,16.6,3.6,0.0,1.0,2.0,0,0,0,78.6,0.0
25,43.0,5.0,4,17.2,3.6,0.0,0.0,4.0,0,0,0,611.3,0.0
25,13.0,1.5,7,18.3,4.3,0.0,0.0,6.0,0,0,90,413.0,1.0
25,15.0,7.0,4,17.8,3.6,0.0,1.0,4.0,0,1,12,170.6,2.0
21,22.0,1.5,4,15.6,4.4,0.0,1.0,3.0,0,5,7,210.8,0.0
24,18.0,4.0,4,13.0,1.8,0.0,0.0,2.0,0,0,5,431.0,0.0
2,30.0,0.5,6,13.7,1.4,0.0,1.0,4.0,12,15,41,347.5,2.0
25,25.0,4.8,3,16.8,3.6,1.0,1.0,2.0,4,4,11,436.6,0.0
24,18.0,1.5,3,18.5,4.3,0.0,0.0,3.0,0,0,8,342.9,0.0
24,27.0,0.5,5,17.6,4.3,0.0,1.0,3.0,11,15,39,546.9,2.0
12,14.0,4.0,3,20.5,1.9,0.0,1.0,2.0,1,1,13,279.0,0.0
25,27.0,0.5,11,11.8,5.3,1.0,6.0,39.0,32,177,724,216.5,0.0
15,28.0,3.6,3,18.7,4.2,0.0,2.0,6.0,4,25,62,352.1,1.0
21,55.0,4.8,3,17.1,2.8,1.0,1.0,2.0,4,4,10,436.6,0.0
12,45.0,4.0,3,17.4,3.5,0.0,2.0,17.0,2,19,298,348.6,1.0
17,22.0,1.5,5,15.5,1.9,1.0,2.0,5.0,4,5,64,496.9,1.0
21,19.0,1.5,8,13.3,4.0,0.0,0.0,9.0,0,1,105,289.7,0.0
21,19.0,1.5,5,16.5,4.0,1.0,1.0,9.0,2,4,114,96.6,1.0
21,22.0,1.5,5,16.5,4.0,0.0,0.0,6.0,1,2,48,523.3,0.0
7,48.0,1.5,4,8.7,3.0,1.0,3.0,12.0,16,54,115,153.7,0.0
11,35.0,0.9,1,10.8,3.0,0.0,1.0,10.0,0,1,187,243.5,0.0
15,24.0,19.5,6,10.2,3.0,0.0,4.0,12.0,1,26,51,194.2,0.0
3,21.0,1.0,1,10.6,2.3,1.0,3.0,15.0,17,40,209,175.7,2.0
14,27.0,6.0,4,16.6,4.8,1.0,1.0,3.0,0,0,7,276.4,0.0
18,23.0,6.0,4,18.2,5.1,0.0,1.0,2.0,0,1,4,319.9,1.0
18,30.0,1.0,3,19.6,3.7,1.0,1.0,4.0,2,7,22,573.2,0.0
12,38.0,2.0,2,7.6,1.1,0.0,0.0,2.0,0,0,5,668.5,2.0
24,36.0,2.7,2,11.1,3.0,0.0,0.0,4.0,0,0,2,342.0,2.0
21,28.0,4.8,10,13.2,5.6,0.0,2.0,9.0,0,1,110,469.5,2.0
17,37.0,2.0,10,16.2,2.9,0.0,0.0,12.0,0,0,52,439.6,2.0
21,25.0,2.5,2,14.6,3.3,1.0,1.0,7.0,1,6,50,70.7,1.0
14,43.0,0.5,2,12.9,5.2,0.0,0.0,4.0,0,1,52,57.8,2.0
19,20.0,1.5,10,14.2,3.0,0.0,1.0,3.0,18,23,57,141.9,2.0
14,29.0,3.4,2,12.5,4.5,0.0,0.0,4.0,2,4,13,118.2,2.0
25,21.0,1.0,10,13.1,2.5,1.0,1.0,2.0,0,1,3,188.3,2.0
21,38.0,0.5,13,11.5,3.4,1.0,1.0,4.0,1,1,11,217.3,2.0
19,56.0,1.5,2,10.8,3.0,0.0,0.0,7.0,0,0,63,232.3,1.0
17,39.0,0.5,7,8.8,4.8,0.0,0.0,3.0,0,1,9,338.8,2.0
21,31.0,1.0,10,5.8,1.5,1.0,1.0,7.0,2,2,35,359.9,2.0
11,57.0,4.5,9,5.0,3.8,0.0,1.0,5.0,0,0,46,223.0,2.0
24,25.0,0.5,12,9.5,3.9,0.0,1.0,3.0,1,5,6,334.8,2.0
21,51.0,2.2,1,7.1,4.4,1.0,2.0,10.0,4,8,85,164.0,2.0
12,39.0,0.5,6,10.8,3.3,0.0,0.0,11.0,2,4,123,195.4,2.0
12,38.0,0.5,1,7.2,3.6,0.0,0.0,3.0,0,0,31,62.2,2.0
7,60.0,4.5,9,4.9,3.5,0.0,0.0,2.0,0,0,4,165.3,2.0
11,50.0,0.5,1,6.5,1.8,0.0,1.0,9.0,1,4,102,114.2,2.0
19,45.0,1.8,29,0.5,1.5,1.0,1.0,3.0,0,0,0,347.8,2.0
25,40.0,2.0,5,10.4,5.9,0.0,0.0,6.0,0,0,161,198.4,2.0
19,12.0,1.8,4,5.8,2.1,0.0,1.0,1.0,0,0,0,329.1,0.0
21,18.0,4.3,28,1.7,3.1,1.0,10.0,43.0,11,67,576,307.7,0.0
11,20.0,1.0,7,9.4,2.7,0.0,0.0,6.0,0,0,18,571.6,2.0
21,30.0,1.0,27,7.2,3.8,0.0,0.0,2.0,0,0,7,368.4,2.0
8,38.0,2.4,7,9.0,3.3,1.0,3.0,6.0,8,32,60,142.7,0.0
11,40.0,6.0,6,5.6,3.1,0.0,0.0,2.0,0,1,28,547.3,1.0
25,46.0,1.0,26,5.0,3.6,0.0,0.0,4.0,0,0,5,311.3,2.0
8,33.0,7.0,6,6.2,5.5,0.0,0.0,9.0,1,2,111,558.6,2.0
11,38.0,1.2,26,3.9,5.7,0.0,0.0,3.0,0,0,1,163.8,2.0
11,55.0,0.5,3,7.0,5.2,0.0,0.0,3.0,0,2,24,652.5,2.0
11,23.0,0.5,6,3.8,3.6,0.0,0.0,7.0,4,8,54,279.1,2.0
21,19.0,1.5,26,2.4,4.1,0.0,0.0,4.0,0,0,1,502.9,2.0
18,36.0,3.5,26,4.9,1.5,0.0,0.0,5.0,0,1,8,488.5,1.0
7,37.0,0.5,4,1.0,1.8,0.0,0.0,3.0,0,0,36,541.4,2.0
24,23.0,4.0,24,1.9,6.5,0.0,1.0,3.0,0,0,3,277.0,1.0
11,34.0,1.0,1,1.8,7.4,0.0,0.0,1.0,0,3,22,242.0,2.0
12,21.0,4.0,24,6.3,7.2,1.0,1.0,3.0,0,0,9,276.4,2.0
12,31.0,1.2,24,6.1,5.2,0.0,1.0,3.0,0,0,2,188.1,2.0
11,31.0,3.5,25,7.1,4.8,0.0,1.0,5.0,0,0,16,168.1,2.0
12,38.0,1.0,4,8.1,3.6,0.0,1.0,4.0,1,7,20,262.6,2.0
24,44.0,1.0,23,5.7,3.5,1.0,1.0,8.0,0,0,17,117.0,0.0
11,62.0,1.0,4,7.3,3.7,0.0,1.0,2.0,1,1,13,215.4,2.0
7,41.0,4.5,4,4.0,8.9,0.0,1.0,5.0,0,0,46,223.0,2.0
11,56.0,0.5,4,5.1,2.4,0.0,0.0,7.0,0,0,36,294.4,2.0
