diravg,dirmax,humidcurr,humidmin,humidrel,ocurcause,ocurdo,rainamount,raindays,riskavg,riskmax,tempavg,windavg,windmax,within_5km,within_10km,within_30km,within_5km_fact,within_10km_fact,within_30km_fact,height,scale_damage
NW,W,0.0,0.0,23.0,산나물채취자 실화추정,충북,0.5,3,0.0,0.0,23.3,4.8,5.1,1.0,1.0,5.0,0,0,67,493.5,0.4736344098320572
WNW,WNW,0.0,0.0,81.0,농산폐기물소각 추정,전북,3.5,2,0.0,0.0,25.6,4.3,5.9,0.0,0.0,3.0,0,0,8,1162.9,0.9704940314320523
NW,SSW,0.0,0.0,29.0,원인미상,경기,6.0,12,0.0,0.0,22.1,3.2,6.6,0.0,0.0,4.0,0,0,7,195.5,-1.616332325891023
WNW,NNE,0.0,0.0,71.0,입산자실화 추정,경북,6.5,11,0.0,0.0,26.0,4.6,8.0,0.0,0.0,4.0,0,3,20,163.4,-1.6162440712835373
NW,WNW,0.0,0.0,38.0,밭두렁소각,전남,4.8,2,0.0,0.0,17.7,3.4,5.4,0.0,1.0,4.0,0,2,45,169.5,-1.5532798384889208
WNW,NNW,0.0,0.0,48.0,입산자실화 추정,경북,0.5,2,0.0,0.0,22.1,3.4,6.3,0.0,2.0,10.0,2,3,51,149.3,0.34787232197945095
NNE,W,0.0,0.0,48.0,농산폐기물소각,경북,0.5,11,0.0,0.0,19.8,2.5,8.7,1.0,1.0,2.0,0,1,7,276.4,1.3656662036816263
WNW,SSW,0.0,0.0,33.0,농산폐기물소각,경북,0.5,11,0.0,0.0,20.0,4.9,6.5,0.0,0.0,4.0,0,0,19,591.5,0.8611021206462444
W,WNW,0.0,0.0,24.0,조사중,부산,6.0,2,0.0,0.0,12.3,3.6,3.7,1.0,2.0,15.0,0,15,264,138.9,0.37004833591148034
W,WSW,0.0,0.0,22.0,방화,서울,0.5,11,0.0,0.0,12.9,4.3,3.9,1.0,2.0,10.0,4,8,85,164.0,0.8539944490584592
W,WNW,0.0,0.0,33.0,입산자실화 추정,경북,2.0,10,0.0,0.0,24.3,3.5,4.7,1.0,1.0,3.0,5,5,6,263.7,-1.5403314521689042
NNW,NNW,0.0,0.0,74.0,입산자실화 추정,대전,0.5,2,0.0,0.0,23.6,3.1,5.0,0.0,0.0,10.0,0,0,26,316.8,-1.601648257748351
WSW,WNW,0.0,0.0,32.0,입산자실화 추정,충남,1.5,11,0.0,0.0,18.4,1.3,5.9,0.0,1.0,4.0,0,2,15,632.0,-1.5498008386627085
NNE,WNW,0.0,0.0,36.0,입산자실화 추정,경북,2.5,1,0.0,0.0,24.4,3.1,5.1,0.0,0.0,4.0,0,0,23,666.1,1.0848124595304083
SSW,SSW,0.0,0.0,36.0,입산자실화 추정,충남,6.5,15,0.0,0.0,23.1,2.5,7.5,0.0,0.0,6.0,0,3,17,128.5,-0.8068670837010343
NNW,E,0.0,0.0,27.0,쓰레기소각,경남,2.5,1,0.0,0.0,17.0,1.2,3.6,0.0,1.0,12.0,2,5,143,249.1,0.908322701824278
S,SSW,0.0,0.0,62.0,조사중,경기,1.0,11,0.0,0.0,11.0,0.8,1.2,1.0,2.0,36.0,16,62,727,209.0,0.951269785388621
ESE,SSE,0.0,0.0,29.0,산나물채취자 실화 추정,경북,2.0,10,0.0,0.0,20.4,5.5,6.7,0.0,1.0,4.0,0,1,6,425.3,-0.29780350368533004
ENE,S,0.0,0.0,34.0,원인미상,충북,2.5,8,0.0,0.0,21.1,3.6,6.6,0.0,0.0,3.0,0,1,1,393.7,0.34567211533289166
SE,SSE,0.0,0.0,31.0,운전자 담뱃불실화 추정,충북,0.5,1,0.0,0.0,21.5,3.5,6.1,0.0,2.0,6.0,1,5,17,348.4,-1.5377902779775585
SW,NW,0.0,0.0,29.0,쓰레기소각,강원,0.5,8,0.0,0.0,20.8,1.7,4.2,0.0,1.0,3.0,0,0,0,154.8,-0.5952338319193828
SW,SW,0.0,0.0,43.0,입산자실화 추정,인천,2.0,15,0.0,0.0,20.0,4.1,7.1,1.0,1.0,5.0,3,5,64,338.9,-1.4759314206123408
SSE,N,0.0,0.0,32.0,입산자실화 추정,강원,1.0,7,0.0,0.0,19.9,2.6,7.4,0.0,2.0,2.0,0,0,0,557.5,-0.27374785001388224
정온,WNW,0.0,0.0,26.0,입산자실화 추정,경북,0.7,9,0.0,0.0,8.8,0.4,1.8,0.0,0.0,3.0,0,0,18,508.0,0.6448677821078026
W,S,0.0,0.0,95.0,입산자실화 추정,강원,21.0,8,0.0,0.0,19.6,4.2,6.1,0.0,1.0,3.0,0,0,0,254.5,-1.2975003557988651
W,SW,0.0,0.0,58.0,쓰레기소각,경북,9.0,8,0.0,0.0,17.8,2.0,6.5,0.0,0.0,0.0,0,0,4,854.7,-1.610700714253373
WSW,WSW,0.0,0.0,33.0,입산자실화 추정,강원,2.1,6,0.0,0.0,21.8,2.2,4.7,1.0,4.0,31.0,11,46,402,124.0,0.3584935694144705
S,SSW,0.0,0.0,32.0,입산자실화,전남,0.5,12,0.0,0.0,16.4,2.4,4.5,0.0,0.0,3.0,0,0,31,62.2,0.8652775863848978
